path,filename,canvas_w,canvas_h,canvas_area,canvas_tiles_w,canvas_tiles_h,canvas_multiple_of_tile,visible_left,visible_top,visible_right_exclusive,visible_bottom_exclusive,visible_w,visible_h,visible_bbox_area,visible_tiles_w_ceil,visible_tiles_h_ceil,transparent_pixel_count,transparent_pixel_pct,bbox_empty_pct,margin_left,margin_top,margin_right,margin_bottom,max_margin_px,max_margin_tiles,parsed_dim_hint,parsed_frame_hint,suggested_trim_canvas_w,suggested_trim_canvas_h,suggested_trim_tiles_w,suggested_trim_tiles_h,issues,suspicious
sprites/operator/runtime/curated/body/ranged_2h/stance_body_placeholder.png,stance_body_placeholder.png,288,96,27648,9.0,3.0,True,33,25,255,84,222,59,13098,7,2,23925,0.8653,0.5263,33,25,33,12,33,1.031,,,224,64,7,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/live_review/body/operator_body_ranged_2h_stance.png,operator_body_ranged_2h_stance.png,288,96,27648,9.0,3.0,True,33,25,255,84,222,59,13098,7,2,23925,0.8653,0.5263,33,25,33,12,33,1.031,,,224,64,7,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
runtime/sundered_keep/props/prop_barrier/prop_gate_barricade_01.png,prop_gate_barricade_01.png,96,64,6144,3.0,2.0,True,23,2,72,62,49,60,2940,2,2,3859,0.6281,0.5215,23,2,24,2,24,0.75,,,64,64,2,2,LARGE_BBOX_EMPTY_AREA,True
sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__99.png,operator__body__melee__light_01__s__6f__99.png,96,96,9216,3.0,3.0,True,1,16,66,84,65,68,4420,3,3,7427,0.8059,0.5204,1,16,30,12,30,0.938,,6f__99,96,96,3,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/body/ranged_2h/operator_body_ranged_2h_fire_loop-sheet.png,operator_body_ranged_2h_fire_loop-sheet.png,192,96,18432,6.0,3.0,True,28,17,163,83,135,66,8910,5,3,15717,0.8527,0.5166,28,17,29,13,29,0.906,,,160,96,5,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/body/ranged_2h/operator_body_ranged_2h_fire_loop-sheet.png.png,operator_body_ranged_2h_fire_loop-sheet.png.png,192,96,18432,6.0,3.0,True,28,17,163,83,135,66,8910,5,3,15717,0.8527,0.5166,28,17,29,13,29,0.906,,,160,96,5,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/body/ranged_2h/operator_body_ranged_2h_fire_south_loop.png,operator_body_ranged_2h_fire_south_loop.png,192,96,18432,6.0,3.0,True,28,17,163,83,135,66,8910,5,3,15717,0.8527,0.5166,28,17,29,13,29,0.906,,,160,96,5,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/curated/body/default/run_up_body-placeholder.png,run_up_body-placeholder.png,1536,96,147456,48.0,3.0,True,35,18,1407,70,1372,52,71344,43,2,135680,0.9201,0.5162,35,18,129,26,129,4.031,,,1376,64,43,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/body/melee_2h/operator_body_melee_2h_block_exit.png,operator_body_melee_2h_block_exit.png,192,96,18432,6.0,3.0,True,29,18,163,85,134,67,8978,5,3,15876,0.8613,0.5129,29,18,29,11,29,0.906,,,160,96,5,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/curated/body/melee_2h/block_exit_body_2f.png,block_exit_body_2f.png,192,96,18432,6.0,3.0,True,29,18,163,85,134,67,8978,5,3,15876,0.8613,0.5129,29,18,29,11,29,0.906,,,160,96,5,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
