/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/stance_01/operator__modular_upper_body__ranged_2h__stance_01__e__5f__96.png | semantic=ranged_2h__stance_01 | direction=e | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/stance_01/operator__modular_lower_body__ranged_2h__stance_01__e__5f__96.png | semantic=ranged_2h__stance_01 | direction=e | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/stance_01/operator__modular_upper_body__ranged_2h__stance_01__ne__5f__96.png | semantic=ranged_2h__stance_01 | direction=ne | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/stance_01/operator__modular_upper_body__ranged_2h__stance_01__nw__5f__96.png | semantic=ranged_2h__stance_01 | direction=nw | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/stance_01/operator__modular_upper_body__ranged_2h__stance_01__n__5f__96.png | semantic=ranged_2h__stance_01 | direction=n | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/stance_01/operator__modular_lower_body__ranged_2h__stance_01__n__5f__96.png | semantic=ranged_2h__stance_01 | direction=n | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/stance_01/operator__modular_upper_body__ranged_2h__stance_01__se__5f__96.png | semantic=ranged_2h__stance_01 | direction=se | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/stance_01/operator__modular_lower_body__ranged_2h__stance_01__se__5f__96.png | semantic=ranged_2h__stance_01 | direction=se | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/stance_01/operator__modular_upper_body__ranged_2h__stance_01__sw__5f__96.png | semantic=ranged_2h__stance_01 | direction=sw | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/stance_01/operator__modular_lower_body__ranged_2h__stance_01__sw__5f__96.png | semantic=ranged_2h__stance_01 | direction=sw | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/stance_01/operator__modular_upper_body__ranged_2h__stance_01__w__5f__96.png | semantic=ranged_2h__stance_01 | direction=w | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/stance_01/operator__modular_lower_body__ranged_2h__stance_01__w__5f__96.png | semantic=ranged_2h__stance_01 | direction=w | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/ranged_2h/operator__body__ranged__stance_01__e__12f__96.png | semantic=ranged__stance_01 | direction=e | layer=full | declared=96x96 | actual_frame=96x96 | frames=12
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/sidearm/draw_sidearm_01/operator__modular_upper_body__sidearm__draw_sidearm_01__ne__5f__96.png | semantic=sidearm__draw_sidearm_01 | direction=ne | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/sidearm/draw_sidearm_01/operator__modular_lower_body__sidearm__draw_sidearm_01__ne__5f__96.png | semantic=sidearm__draw_sidearm_01 | direction=ne | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/sidearm/draw_sidearm_01/operator__modular_upper_body__sidearm__draw_sidearm_01__nw__5f__96.png | semantic=sidearm__draw_sidearm_01 | direction=nw | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/sidearm/draw_sidearm_01/operator__modular_lower_body__sidearm__draw_sidearm_01__nw__5f__96.png | semantic=sidearm__draw_sidearm_01 | direction=nw | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/sidearm/draw_sidearm_01/operator__modular_upper_body__sidearm__draw_sidearm_01__se__5f__96.png | semantic=sidearm__draw_sidearm_01 | direction=se | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/sidearm/draw_sidearm_01/operator__modular_lower_body__sidearm__draw_sidearm_01__se__5f__96.png | semantic=sidearm__draw_sidearm_01 | direction=se | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/sidearm/draw_sidearm_01/operator__modular_upper_body__sidearm__draw_sidearm_01__sw__5f__96.png | semantic=sidearm__draw_sidearm_01 | direction=sw | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/sidearm/draw_sidearm_01/operator__modular_lower_body__sidearm__draw_sidearm_01__sw__5f__96.png | semantic=sidearm__draw_sidearm_01 | direction=sw | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/sidearm/fire_sidearm_01/operator__modular_upper_body__sidearm__fire_sidearm_01__ne__5f__96.png | semantic=sidearm__fire_sidearm_01 | direction=ne | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/sidearm/fire_sidearm_01/operator__modular_lower_body__sidearm__fire_sidearm_01__ne__5f__96.png | semantic=sidearm__fire_sidearm_01 | direction=ne | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/sidearm/fire_sidearm_01/operator__modular_upper_body__sidearm__fire_sidearm_01__nw__5f__96.png | semantic=sidearm__fire_sidearm_01 | direction=nw | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/sidearm/fire_sidearm_01/operator__modular_lower_body__sidearm__fire_sidearm_01__nw__5f__96.png | semantic=sidearm__fire_sidearm_01 | direction=nw | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/sidearm/fire_sidearm_01/operator__modular_upper_body__sidearm__fire_sidearm_01__se__5f__96.png | semantic=sidearm__fire_sidearm_01 | direction=se | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/sidearm/fire_sidearm_01/operator__modular_lower_body__sidearm__fire_sidearm_01__se__5f__96.png | semantic=sidearm__fire_sidearm_01 | direction=se | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/sidearm/fire_sidearm_01/operator__modular_upper_body__sidearm__fire_sidearm_01__sw__5f__96.png | semantic=sidearm__fire_sidearm_01 | direction=sw | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/sidearm/fire_sidearm_01/operator__modular_lower_body__sidearm__fire_sidearm_01__sw__5f__96.png | semantic=sidearm__fire_sidearm_01 | direction=sw | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__arrival_01__s__9f__96.png | semantic=unarmed__arrival_01 | direction=s | layer=full | declared=96x96 | actual_frame=96x96 | frames=9
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/unarmed/block_loop_01/operator__modular_upper_body__unarmed__block_loop_01__e__5f__96.png | semantic=unarmed__block_loop_01 | direction=e | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/unarmed/block_loop_01/operator__modular_lower_body__unarmed__block_loop_01__e__5f__96.png | semantic=unarmed__block_loop_01 | direction=e | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/unarmed/block_loop_01/operator__modular_upper_body__unarmed__block_loop_01__w__5f__96.png | semantic=unarmed__block_loop_01 | direction=w | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/unarmed/block_loop_01/operator__modular_lower_body__unarmed__block_loop_01__w__5f__96.png | semantic=unarmed__block_loop_01 | direction=w | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
