semantic,direction,frame_index,composition,width,height,area,fill_ratio,centroid_x,centroid_y,center_offset_x,baseline,top_margin,bottom_margin,left_margin,right_margin,vertical_utilization,horizontal_utilization,components,largest_component_ratio,head_width,shoulder_width,torso_width,hip_width,stance_width,head_to_shoulder,torso_to_shoulder,hip_to_shoulder,stance_to_shoulder,clipped,value_available,mean_luma,value_range,dark_ratio,light_ratio,edge_contrast,sources
melee_1h,w,7,full,59,72,2287,0.53837,52.255,52.746,4.755,85,14,10,23,14,0.75000,0.61458,2,0.50765,29,55,39.5,39,52,0.52727,0.71818,0.70909,0.94545,false,true,0.18085,0.33860,0.74246,0.01662,0.07777,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png
melee_1h,w,8,full,46,72,2247,0.67844,50.343,52.123,2.843,84,13,11,29,21,0.75000,0.47917,1,1.00000,29,40,40.0,44,43,0.72500,1.00000,1.10000,1.07500,false,true,0.18578,0.33755,0.73832,0.02047,0.09174,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png
melee__fast_01,e,1,full,64,67,1608,0.37500,44.343,60.577,-3.157,94,28,1,4,28,0.69792,0.66667,5,0.99751,32,39,38.5,53,56,0.82051,0.98718,1.35897,1.43590,false,true,0.22758,0.57416,0.66231,0.03607,0.02044,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,2,full,67,67,1645,0.36645,43.736,60.808,-3.764,94,28,1,1,28,0.69792,0.69792,6,0.99696,32,40,39.0,56,56,0.80000,0.97500,1.40000,1.40000,false,true,0.23832,0.61932,0.64742,0.04559,0.01582,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,3,full,82,64,1851,0.35271,49.742,52.025,2.242,83,20,12,2,12,0.66667,0.85417,11,0.97191,74,66,57,56,55,1.12121,0.86364,0.84848,0.83333,false,true,0.25013,0.64682,0.62129,0.04862,0.01460,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,4,full,72,83,1620,0.27108,57.579,50.169,10.079,82,0,13,23,1,0.86458,0.75000,17,0.96667,55,33,28,32,45,1.66667,0.84848,0.96970,1.36364,true,true,0.25907,0.68138,0.61728,0.07407,0.03680,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,5,full,76,57,1602,0.36981,55.615,64.172,8.115,93,37,2,20,0,0.59375,0.79167,24,0.86392,61,63,60.0,70,76,0.96825,0.95238,1.11111,1.20635,true,true,0.31935,0.74637,0.54682,0.13920,0.17098,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,6,full,96,96,2682,0.29102,44.636,51.161,-2.864,95,0,0,0,0,1.00000,1.00000,13,0.94892,66,66,53,48,79,1.00000,0.80303,0.72727,1.19697,true,true,0.41887,0.88646,0.42394,0.28113,0.13911,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,7,full,74,76,1625,0.28894,49.856,41.701,2.356,75,0,20,4,18,0.79167,0.77083,13,0.97231,49,60,38,33,49,0.81667,0.63333,0.55000,0.81667,true,true,0.25284,0.62724,0.62585,0.04369,0.00122,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,8,full,70,83,1851,0.31859,43.605,53.273,-3.895,94,12,1,0,26,0.86458,0.72917,27,0.94652,56,61,58,64,64,0.91803,0.95082,1.04918,1.04918,true,true,0.27092,0.68954,0.60130,0.07239,0.02898,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,9,full,90,95,1629,0.19053,49.138,67.894,1.638,95,1,0,0,6,0.98958,0.93750,24,0.83425,1,26,28,34,89,0.03846,1.07692,1.30769,3.42308,true,true,0.32755,0.76217,0.53775,0.15163,0.19920,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,10,full,72,90,1963,0.30293,61.831,52.814,14.331,90,1,5,23,1,0.93750,0.75000,19,0.79165,12,49,47,53,59,0.24490,0.95918,1.08163,1.20408,false,true,0.36125,0.83772,0.48905,0.21549,0.21346,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,11,full,88,79,1919,0.27604,52.552,48.134,5.052,83,5,12,2,6,0.82292,0.91667,16,0.96040,46,69,26,30,47,0.66667,0.37681,0.43478,0.68116,false,true,0.25250,0.63124,0.62428,0.04377,0.00845,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,12,full,64,67,1667,0.38876,43.293,61.079,-4.207,94,28,1,4,28,0.69792,0.66667,3,0.99880,32,40,39.0,54,60,0.80000,0.97500,1.35000,1.50000,false,true,0.24376,0.61948,0.63947,0.05099,0.02763,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__light_01,s,2,full,7,37,119,0.45946,53.244,65.345,5.744,80,44,15,49,40,0.38542,0.07292,2,0.60504,4,4,1.5,4,7,1.00000,0.37500,1.00000,1.75000,false,true,0.08276,0.16102,0.95798,0.00000,0.03871,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__100.png
melee__light_01,s,3,full,16,59,803,0.85064,47.912,55.081,0.412,83,25,12,40,40,0.61458,0.16667,2,0.99875,13,16,16.0,16,16,0.81250,1.00000,1.00000,1.00000,false,true,0.14509,0.40364,0.77958,0.03238,0.02913,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__100.png
melee__light_01,s,4,full,16,61,688,0.70492,46.084,56.379,-1.416,85,25,10,40,40,0.63542,0.16667,1,1.00000,16,16,8.0,13,16,1.00000,0.50000,0.81250,1.00000,false,true,0.15291,0.41537,0.76599,0.02616,0.05160,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__100.png
melee__light_01,s,5,full,16,63,34,0.03373,42.176,42.676,-5.324,84,22,11,40,40,0.65625,0.16667,6,0.76471,3,13,1,0,1,0.23077,0.07692,0.00000,0.07692,false,true,0.09082,0.24796,0.88235,0.00000,0.05459,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__100.png
melee__light_01,s,6,full,1,1,1,1.00000,50.000,87.000,2.500,87,87,8,50,45,0.01042,0.01042,1,1.00000,1,1,1,1,1,1.00000,1.00000,1.00000,1.00000,false,true,0.21275,0.00000,1.00000,0.00000,0.21275,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__100.png
melee__light_01,s,1,full,4,75,10,0.03333,49.700,56.000,2.200,95,21,0,47,45,0.78125,0.04167,8,0.20000,4,0,0,0,1,0.00000,0.00000,0.00000,0.00000,true,true,0.23274,0.03727,1.00000,0.00000,0.23274,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__101.png
melee__light_01,s,2,full,6,48,59,0.20486,53.390,69.593,5.890,77,30,18,50,40,0.50000,0.06250,3,0.91525,1,1,1.0,1,6,1.00000,1.00000,1.00000,6.00000,false,true,0.10211,0.15043,0.94915,0.01695,0.00540,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__101.png
melee__light_01,s,3,full,16,59,725,0.76801,48.240,55.717,0.740,83,25,12,40,40,0.61458,0.16667,4,0.99586,12,16,15.5,16,16,0.75000,0.96875,1.00000,1.00000,false,true,0.13702,0.37980,0.80966,0.02207,0.05292,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__101.png
melee__light_01,s,4,full,16,62,759,0.76512,46.303,56.120,-1.197,86,25,9,40,40,0.64583,0.16667,1,1.00000,13,14,11,16,16,0.92857,0.78571,1.14286,1.14286,false,true,0.18601,0.46031,0.69565,0.03953,0.10256,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__101.png
melee__light_01,s,5,full,1,4,4,1.00000,40.000,82.500,-7.500,84,81,11,40,55,0.04167,0.01042,1,1.00000,1,1,1.0,1,1,1.00000,1.00000,1.00000,1.00000,false,true,0.00973,0.00674,1.00000,0.00000,0.00973,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__101.png
melee__light_01,s,1,full,4,74,14,0.04730,45.214,59.143,-2.286,95,22,0,45,47,0.77083,0.04167,14,0.07143,1,1,0,0,4,1.00000,0.00000,0.00000,4.00000,true,true,0.23687,0.01330,1.00000,0.00000,0.23687,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__96.png
melee__light_01,s,2,full,9,49,192,0.43537,52.833,54.589,5.333,83,35,12,47,40,0.51042,0.09375,3,0.69271,7,8,3,3,5,0.87500,0.37500,0.37500,0.62500,false,true,0.12288,0.31686,0.84375,0.01042,0.02662,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__96.png
melee__light_01,s,3,full,16,64,901,0.87988,47.618,51.978,0.118,83,20,12,40,40,0.66667,0.16667,1,1.00000,16,16,16,16,16,1.00000,1.00000,1.00000,1.00000,false,true,0.16276,0.46725,0.79245,0.03663,0.03005,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__96.png
melee__light_01,s,4,full,16,65,828,0.79615,46.717,55.438,-0.783,84,20,11,40,40,0.67708,0.16667,1,1.00000,11,16,16.0,16,16,0.68750,1.00000,1.00000,1.00000,false,true,0.15035,0.36683,0.78744,0.01812,0.05650,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__96.png
melee__light_01,s,5,full,3,40,41,0.34167,40.610,56.024,-6.890,83,44,12,40,53,0.41667,0.03125,2,0.90244,3,3,2,0,1,1.00000,0.66667,0.00000,0.33333,false,true,0.10319,0.25496,0.87805,0.00000,0.11262,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__96.png
melee__light_01,s,6,full,1,65,3,0.04615,41.000,56.667,-6.500,81,17,14,41,54,0.67708,0.01042,3,0.33333,1,0,0,0,1,0.00000,0.00000,0.00000,0.00000,false,true,0.23319,0.02599,1.00000,0.00000,0.23319,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__96.png
melee__light_01,s,1,full,1,7,2,0.28571,44.000,72.000,-3.500,75,69,20,44,51,0.07292,0.01042,2,0.50000,1,0,0,0,1,0.00000,0.00000,0.00000,0.00000,false,true,0.23921,0.00694,1.00000,0.00000,0.23921,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__97.png
melee__light_01,s,2,full,13,57,286,0.38596,50.787,53.685,3.287,81,25,14,43,40,0.59375,0.13542,2,0.52797,13,13,1.5,6,10,1.00000,0.11538,0.46154,0.76923,false,true,0.12961,0.32999,0.83916,0.00000,0.09850,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__97.png
melee__light_01,s,3,full,16,61,862,0.88320,47.616,50.558,0.116,81,21,14,40,40,0.63542,0.16667,1,1.00000,16,16,14.5,16,16,1.00000,0.90625,1.00000,1.00000,false,true,0.16192,0.43782,0.75174,0.03828,0.11377,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__97.png
melee__light_01,s,4,full,16,64,785,0.76660,46.642,55.601,-0.858,84,21,11,40,40,0.66667,0.16667,2,0.99873,11,16,16,16,16,0.68750,1.00000,1.00000,1.00000,false,true,0.14682,0.36943,0.76943,0.01146,0.07741,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__97.png
melee__light_01,s,5,full,9,74,28,0.04204,40.643,63.000,-6.857,83,10,12,40,47,0.77083,0.09375,3,0.57143,1,0,2.0,2,2,0.00000,0.00000,0.00000,0.00000,false,true,0.05572,0.14235,1.00000,0.00000,0.05572,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__97.png
